127.0.0.1 - - [09/Aug/2024:11:26:13 +0900] "POST /wp-cron.php?doing_wp_cron=1723170373.6074290275573730468750 HTTP/1.0" 200 -
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET / HTTP/1.0" 200 83964
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-includes/blocks/image/style.min.css?ver=6.6.1 HTTP/1.0" 200 6358
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-includes/js/dist/interactivity.min.js?ver=6.6.1 HTTP/1.0" 200 36686
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp HTTP/1.0" 200 66482
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-includes/blocks/navigation/view.min.js?ver=6.6.1 HTTP/1.0" 200 3300
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp HTTP/1.0" 200 199724
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-includes/blocks/navigation/style.min.css?ver=6.6.1 HTTP/1.0" 200 16384
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-content/themes/twentytwentyfour/assets/images/windows.webp HTTP/1.0" 200 126244
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2 HTTP/1.0" 200 146060
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2 HTTP/1.0" 200 105184
127.0.0.1 - - [09/Aug/2024:11:26:20 +0900] "GET /wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2 HTTP/1.0" 200 326628
127.0.0.1 - - [09/Aug/2024:11:26:21 +0900] "GET /favicon.ico HTTP/1.0" 302 -
127.0.0.1 - - [09/Aug/2024:11:26:21 +0900] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.0" 200 4119
127.0.0.1 - - [09/Aug/2024:11:26:25 +0900] "GET /wp-admin/ HTTP/1.0" 302 -
127.0.0.1 - - [09/Aug/2024:11:26:25 +0900] "GET /wp-login.php?redirect_to=http%3A%2F%2Fwooms.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 3999
127.0.0.1 - - [09/Aug/2024:11:26:25 +0900] "GET /wp-includes/js/wp-util.min.js?ver=6.6.1 HTTP/1.0" 200 1426
127.0.0.1 - - [09/Aug/2024:11:26:25 +0900] "GET /wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6 HTTP/1.0" 200 9141
127.0.0.1 - - [09/Aug/2024:11:26:25 +0900] "GET /wp-includes/js/underscore.min.js?ver=1.13.4 HTTP/1.0" 200 18833
